CATÁLOGO DE SERVICIOS TIC DE CRUE V3.0;;
Cód. CRUE;Nombre del Servicio;Descripción del Servicio
CRUE_04_01;Correo electrónico. PDI y PAS.;Diseño, administración y gestión de las comunicaciones basadas en correo electrónico, destinado al PAS y PDI.
CRUE_04_02;Correo electrónico. Estudiantes.;Diseño, administración y gestión de las comunicaciones basadas en correo electrónico, destinado a los estudiantes universitarios.
CRUE_04_03;Correo electrónico. Preuniversitarios.;Diseño, administración y gestión de las comunicaciones basadas en correo electrónico, destinado a los estudiantes preuniversitarios del distrito correspondiente.
CRUE_04_04;Correo electrónico. Egresados.;Diseño, administración y gestión de las comunicaciones basadas en correo electrónico, destinado a los estudiantes egresados.
CRUE_04_05;Correo electrónico. Listas de Distribución.;Diseño, administración y gestión de las comunicaciones basadas en listas de correo electrónico, en diferentes modalidades como moderada y no moderada
CRUE_04_06;Comunicados por SMS y Redes Sociales.;Diseño, administración y gestión de las comunicaciones basadas en el uso de plataformas de envío de mensajes cortos (SMS y Redes Sociales)
CRUE_04_061;Red Social corporativa.;Plataforma que la universidad usa, implanta o desarrolla para la Red Social Corporativa
CRUE_04_08;Plataformas de trabajo colaborativo;Diseño, administración y gestión de las comunicaciones basadas en espacios compartidos con capacidad de colaboración en documentos electrónicos: SharePoint, Grupos Office 365, Google Groups, agenda, calendarios, carpetas compartidas
CRUE_04_09;Intercambio de ficheros. FTP;Diseño, administración y gestión de las comunicaciones basadas en el intercambio de ficheros a través del protocolo de transferencia FTP
CRUE_04_10;Intercambio de ficheros. Ficheros gran volumen.;Diseño, administración y gestión de las comunicaciones basadas en el intercambio de ficheros de gran volumen
CRUE_04_11;Videoconferencia. Web.;Diseño, administración y gestión de las comunicaciones audiovisuales basadas en sistemas de videoconferencia web
CRUE_04_12;Videoconferencia. Sala.;Diseño, administración y gestión de las comunicaciones audiovisuales basadas en sistemas de basadas en el uso de equipos de videoconferencia de sala y equipamiento MCU.
CRUE_04_13;Videoconferencia. Inmersión;Diseño, administración y gestión de las comunicaciones audiovisuales basadas en sistemas de basadas en el uso de salas especialmente equipadas para integrar presencia y contenidos.
